date,title,slug,category,status,wordpress_url,source_research_file
2026-05-02 11:27,【動作確認】自動投稿システム本番テスト,auto-post-test-20260502,半導体ニュース,draft,https://semistructure.com/?p=107,articles/ready/20260502-api-test.html
2026-05-02 11:36,ローツェが新社屋建設を発表｜半導体搬送ロボの開発能力を強化する戦略的意図を読む,rorze-new-building-2026,日本企業ニュース,draft,https://semistructure.com/?p=110,articles/ready/20260502-rorze-new-building.html
2026-05-02 12:04,【2026年4月16日】TSMCのQ1決算・3月売上が過去最高｜AI需要がファウンドリ支配力をさらに強化,tsmc-q1-2026-earnings,ファウンドリニュース,draft,https://semistructure.com/?p=120,articles/ready/20260416-tsmc-q1-2026-earnings.html
2026-05-02 13:39,【2026年4月30日】Samsung Q1決算｜営業利益57兆ウォンの衝撃・AIメモリ主導で過去最高益,samsung-q1-2026-earnings,メモリニュース,draft,https://semistructure.com/?p=124,articles/ready/20260430-samsung-q1-2026-earnings.html
2026-05-02 19:22,【2026年4月22日】SK hynix Q1決算｜HBMが牽引し過去最高の四半期業績・NVIDIA主要サプライヤーの実力,sk-hynix-q1-2026-earnings,メモリニュース,draft,https://semistructure.com/?p=128,articles/ready/20260422-sk-hynix-q1-2026-earnings.html
2026-05-03 09:07,【2026年4月30日】東京エレクトロン2026年3月期決算｜売上2兆4435億円・AI需要と中国リスクの構造を読む,tel-fy2026-earnings,製造装置ニュース,draft,https://semistructure.com/?p=129,articles/ready/20260430-tel-fy2026-earnings.html
2026-05-03 09:20,【2026年4月15日】ASML Q1決算｜売上88億ユーロ・通期見通し引き上げもEUV中国リスクが残る,asml-q1-2026-earnings,製造装置ニュース,draft,https://semistructure.com/?p=132,articles/ready/20260415-asml-q1-2026-earnings.html
2026-05-04 13:07,【テスト投稿】半導体ニュース自動投稿システム動作確認,test-auto-post-20260502,半導体ニュース,draft,https://semistructure.com/?p=135,articles\ready\20260502-test-post.html
2026-05-04 13:07,チップレットとは｜半導体設計の革命と経営・投資への影響を読む,chiplet,ビジネスモデル｜誰がどう稼ぐか,draft,https://semistructure.com/?p=136,articles\ready\glossary-chiplet.html
2026-05-04 13:07,IPライセンスとは｜ARM型ビジネスモデルが半導体産業を変える構造を読む,ip-license,ビジネスモデル｜誰がどう稼ぐか,draft,https://semistructure.com/?p=137,articles\ready\glossary-ip-license.html
2026-05-04 13:07,OSATとは｜後工程受託企業のビジネスモデルと先端パッケージングへの進化,osat,ビジネスモデル｜誰がどう稼ぐか,draft,https://semistructure.com/?p=138,articles\ready\glossary-osat.html
2026-05-04 13:48,OSATとは｜後工程受託企業のビジネスモデルと先端パッケージングへの進化,osat,ビジネスモデル｜誰がどう稼ぐか,draft,https://semistructure.com/?p=143,articles/ready/glossary-osat.html
2026-05-04 14:06,DRAMとは｜コンピュータの「作業机」を支えるメモリの構造と市場を読む,dram,製品・デバイス｜何を作っているか,draft,https://semistructure.com/?p=148,articles\ready\glossary-dram.html
2026-05-04 14:06,GPUとは｜AIを動かす半導体の構造とNVIDIAの独占的地位を読む,gpu,製品・デバイス｜何を作っているか,draft,https://semistructure.com/?p=149,articles\ready\glossary-gpu.html
2026-05-04 14:06,リソグラフィとは｜半導体回路を「焼き付ける」工程の構造と投資への影響,lithography,製造プロセス｜どう作るか,draft,https://semistructure.com/?p=150,articles\ready\glossary-lithography.html
2026-05-04 14:06,パワー半導体とは｜SiC・GaNが牽引するEV・産業向け市場の構造を読む,power-semiconductor,製品・デバイス｜何を作っているか,draft,https://semistructure.com/?p=151,articles\ready\glossary-power-semiconductor.html
2026-05-04 14:06,歩留まり（イールド）とは｜半導体製造の収益性を決定する最重要指標,yield-semiconductor,製造プロセス｜どう作るか,draft,https://semistructure.com/?p=152,articles\ready\glossary-yield.html
2026-05-04 22:01,【2026年4月11日】Rapidusに追加6315億円支援｜累計2.35兆円・2027年量産へ日本の賭け,rapidus-nedo-2026-approval,日本企業ニュース,draft,https://semistructure.com/?p=179,articles\ready\20260411-rapidus-nedo-approval.html
2026-05-04 22:01,【2026年4月16日】米議会MATCH Act修正｜ASML DUV規制が焦点・日本装置メーカーへの波及リスク,match-act-asml-duv-2026,地政学｜国家がどう関わるか,draft,https://semistructure.com/?p=180,articles\ready\20260415-asml-match-act.html
2026-05-04 22:01,【2026年4月21日】アドバンテストがApplied Materials EPIC Platformに参画｜テスト工程がAI半導体の競争軸に,advantest-amat-epic-2026,日本企業ニュース,draft,https://semistructure.com/?p=181,articles\ready\20260421-advantest-amat-epic.html
2026-05-04 22:02,【2026年4月28日】米国がHua Hong向け装置輸出を停止命令｜中国7nm制御と日本への波及を読む,hua-hong-export-control-2026,地政学｜国家がどう関わるか,draft,https://semistructure.com/?p=182,articles\ready\20260428-hua-hong-export-control.html
2026-05-04 22:02,シリコンウェハとは｜半導体製造の「土台」を支える材料市場と日本企業の強み,silicon-wafer,装置・材料｜製造を支えるインフラ,draft,https://semistructure.com/?p=183,articles\ready\glossary-silicon-wafer.html
2026-05-04 22:20,CVD・成膜とは｜半導体の「積み重ね」を支える薄膜形成技術と装置市場,cvd-film-deposition,製造プロセス｜どう作るか,draft,https://semistructure.com/?p=189,articles\ready\glossary-cvd.html
2026-05-04 22:21,エッチングとは｜半導体回路を「削り出す」工程の構造と装置メーカーの競争,etching,製造プロセス｜どう作るか,draft,https://semistructure.com/?p=190,articles\ready\glossary-etching.html
2026-05-04 22:21,NANDフラッシュとは｜ストレージ市場を支えるメモリの構造とAI時代の変化,nand-flash,製品・デバイス｜何を作っているか,draft,https://semistructure.com/?p=191,articles\ready\glossary-nand-flash.html
2026-05-04 22:21,フォトレジストとは｜半導体回路の「版」を作る感光材料と日本企業の独占,photoresist,装置・材料｜製造を支えるインフラ,draft,https://semistructure.com/?p=192,articles\ready\glossary-photoresist.html
2026-05-04 22:21,TSVとは｜HBMとCoWoSを支えるシリコン貫通電極の構造と製造難易度,tsv,製造プロセス｜どう作るか,draft,https://semistructure.com/?p=193,articles\ready\glossary-tsv.html
